timestamp,Left_Heel,Left_Middle,Left_Top
1734602901.9013171,3700,371,2451
1734602901.972819,4095,0,2698
1734602902.0909426,801,1905,0
1734602902.1528533,1355,0,414
1734602902.207138,3312,351,2259
1734602902.2737675,2883,261,1924
1734602902.3301752,0,3274,272
1734602902.3931365,0,3351,301
1734602902.451831,0,3374,321
1734602902.513272,0,3375,327
1734602902.5731056,0,3366,338
1734602902.6280105,0,3152,301
1734602902.6911995,0,2660,229
1734602902.7524846,0,2640,240
1734602902.806151,0,2396,214
1734602902.8725097,0,1682,156
1734602902.9338534,0,608,78
1734602902.9844368,0,1367,111
1734602903.106781,2647,289,1990
1734602903.2185297,506,400,171
1734602903.3521373,0,3248,165
1734602903.4025903,135,3127,155
1734602903.4730039,196,3242,169
1734602903.5238032,137,3245,170
1734602903.593366,79,3243,173
1734602903.652309,188,2862,91
1734602903.699408,188,3035,116
1734602903.7741683,598,208,34
1734602903.8276274,461,1991,0
1734602903.8946378,493,3301,169
1734602903.952391,570,3280,162
1734602904.007651,635,3285,169
1734602904.07159,661,3273,172
1734602904.1264186,619,3246,164
1734602904.1907964,733,3274,165
1734602904.2528653,951,2128,0
1734602904.3008928,708,1488,0
1734602904.3726044,855,1819,0
1734602904.4283617,1079,1388,0
1734602904.4894335,461,548,0
1734602904.5519023,557,0,0
1734602904.6138482,1004,0,412
1734602904.673665,1180,0,589
1734602904.7189372,1059,0,503
1734602904.7914755,999,0,432
1734602904.8387566,2857,0,1489
1734602904.906997,1054,1631,0
1734602904.973904,1007,323,0
1734602905.0215132,4095,293,2559
1734602905.093569,4095,370,2735
1734602905.150258,4095,427,2826
1734602905.2072315,4095,0,3259
1734602905.321483,2186,162,1490
1734602905.388327,879,206,169
1734602905.447669,637,1494,0
1734602905.5123808,698,2055,0
1734602905.559792,650,3070,126
1734602905.6942904,817,3053,133
1734602905.742597,842,3110,123
1734602905.8133001,911,2549,45
1734602905.8710735,947,1637,0
1734602905.9271607,1782,767,993
1734602905.9908485,4095,426,2994
1734602906.0526369,47,3294,159
1734602906.1073377,41,3264,165
1734602906.1751745,23,2510,29
1734602906.2276936,0,3328,154
1734602906.2912004,0,3280,163
1734602906.3461843,0,3301,173
1734602906.4586508,0,3326,166
1734602906.5920758,0,2602,80
1734602906.6525617,50,1721,48
1734602906.701323,4095,0,2064
1734602906.7712212,4095,304,2282
1734602906.8888228,2518,437,1056
1734602906.9528422,4095,304,2171
1734602907.0731375,4095,0,2127
1734602907.133812,1171,1987,0
1734602907.1921566,4095,218,2329
1734602907.2386172,4095,355,2512
1734602907.302607,2554,135,1294
1734602907.4323797,23,0,157
1734602907.48316,0,0,54
1734602907.5421624,0,0,62
1734602907.6065319,0,325,61
1734602907.6728349,0,1018,106
1734602907.7255175,0,1975,207
1734602907.7925673,0,3063,325
1734602907.842512,0,3360,387
1734602907.9112349,0,3365,373
1734602907.9584808,0,3376,367
1734602908.031451,0,3449,352
1734602908.0847862,0,3405,338
1734602908.1528623,1995,0,786
1734602908.2026036,2045,22,911
1734602908.273419,2102,38,962
1734602908.3212252,2495,119,1345
1734602908.3887758,2734,176,1591
1734602908.4520793,2758,192,1648
1734602908.499323,4058,0,2295
1734602908.6314254,3135,321,2177
1734602908.6880653,2797,277,1984
1734602908.7474778,2222,199,1567
1734602908.8129733,1423,98,919
1734602908.8720937,0,1006,0
1734602908.932758,0,995,0
1734602909.0535796,0,782,0
1734602909.1038666,128,0,157
1734602909.170898,2019,196,1873
1734602909.2185528,4095,0,3338
1734602909.2905881,4095,410,3105
1734602909.3377268,4055,475,3001
1734602909.4026937,1535,411,934
1734602909.5341387,590,3295,170
1734602909.5894783,710,689,45
1734602909.6527238,650,0,127
1734602909.7137988,3551,383,2683
1734602909.7722917,3637,496,2871
1734602909.8251343,3184,477,2743
1734602909.8930197,4095,493,3281
1734602909.9403977,1613,2086,1253
1734602910.1331754,718,0,695
1734602910.2450867,0,3319,272
1734602910.3703306,0,3381,277
1734602910.424008,0,2665,193
1734602910.488964,1338,369,0
1734602910.5414407,1668,0,265
1734602910.7264931,3941,285,2103
1734602910.7899787,4095,288,2247
1734602910.8467567,4095,279,2320
1734602910.9105291,4095,0,2277
1734602910.9736516,4095,337,2379
1734602911.0221515,4095,368,2337
1734602911.087511,1971,33,764
1734602911.1525784,1987,14,816
1734602911.207565,1659,0,443
1734602911.274079,198,2533,118
1734602911.326418,0,3319,235
1734602911.502243,0,3277,260
1734602911.5730305,0,3401,297
1734602911.741884,0,3024,253
1734602911.8670444,0,3347,311
1734602911.934443,0,3377,303
1734602911.990909,0,3387,283
1734602912.0527658,143,1949,0
1734602912.1714332,173,3156,159
1734602912.2331824,184,3252,167
1734602912.2928567,139,3250,169
1734602912.399573,41,3221,170
1734602912.4736383,169,3259,161
1734602912.7028096,656,1230,0
1734602912.822429,234,3302,161
1734602913.012928,1327,0,769
1734602913.070269,2608,183,1740
1734602913.130801,3703,0,2123
1734602913.1832988,1232,545,149
1734602913.2431693,954,2559,46
1734602913.3073292,866,3300,159
1734602913.371094,921,3280,176
1734602913.4191325,969,3267,174
1734602913.5441852,462,0,544
1734602913.673628,0,21,97
1734602913.7332058,0,944,76
1734602913.788974,0,1296,110
1734602913.8529723,0,1718,147
1734602913.913589,0,1587,141
1734602914.030765,0,1637,129
1734602914.0929334,0,1664,130
1734602914.1393185,0,1511,118
1734602914.2115972,0,1427,100
1734602914.2711356,0,3262,292
1734602914.3318598,0,3361,295
1734602914.3928866,0,3364,298
1734602914.4407308,0,3379,296
1734602914.5718684,0,3371,306
1734602914.6320753,0,3267,307
1734602914.6875277,0,3253,295
1734602914.7531369,0,2747,230
1734602914.8130445,0,2455,198
1734602914.8721187,0,1758,138
1734602914.9908977,0,1229,93
1734602915.051344,0,3303,171
1734602915.111084,38,3321,167
1734602915.1729803,126,3330,165
1734602915.2335646,237,3339,163
1734602915.29185,345,3345,163
1734602915.3531618,466,3339,165
1734602915.4009488,482,3298,159
1734602915.4735804,633,3358,165
1734602915.5331903,704,3332,167
1734602915.5927515,731,3344,166
1734602915.6509886,767,3312,169
1734602915.708707,800,3281,171
1734602915.7734842,766,0,314
1734602915.879307,704,0,368
1734602916.0070865,807,0,531
1734602916.0729787,1418,0,944
1734602916.1331637,1744,1,583
1734602916.2523303,717,240,0
1734602916.3116474,2384,192,1587
1734602916.3732204,4095,412,2831
1734602916.422817,4095,427,2914
1734602916.5521111,1938,0,1830
1734602916.6079009,2984,453,2941
1734602916.7333982,4095,479,3421
1734602916.792647,4095,437,3230
1734602916.8429244,4095,445,3059
1734602916.906386,3440,0,2412
