timestamp,Left_Heel,Left_Middle,Left_Top
1736322824.9386601,4095,3316,3
1736322824.9948468,3451,2342,52
1736322825.0564144,4095,1584,0
1736322825.1158667,4095,0,2127
1736322825.174754,0,0,4095
1736322825.2359555,4095,0,0
1736322825.294775,4095,3271,80
1736322825.3564355,4095,0,3693
1736322825.415017,0,0,3927
1736322825.4692097,4095,432,2295
1736322825.530316,4095,0,3794
1736322825.5881312,0,3341,2480
1736322825.6571865,3869,0,3566
1736322825.7087588,2480,587,2491
1736322825.7687669,1245,3326,207
1736322825.829841,4095,1014,0
1736322825.892135,4095,0,3548
1736322826.0181248,321,3286,211
1736322826.0759797,4095,0,3620
1736322826.1331525,4095,3401,0
1736322826.195225,4095,3137,175
1736322826.2570689,0,3423,224
1736322826.3117957,4095,3343,0
1736322826.3764548,0,3485,198
1736322826.4361374,2291,0,3615
1736322826.4958863,4095,0,213
1736322826.6104918,4095,3225,0
1736322826.6729107,3135,233,0
1736322826.7317626,1854,3063,170
1736322826.7934523,0,3831,4095
1736322826.8584874,4095,2908,66
1736322826.9098954,0,3007,1792
1736322827.0327365,3310,2445,68
1736322827.0889852,70,1154,679
1736322827.1571686,4095,54,0
1736322827.2101216,2559,0,784
1736322827.27558,0,2721,2593
1736322827.3306618,4095,560,0
1736322827.3962917,4095,0,0
1736322827.4568007,0,3203,1693
1736322827.5171916,4095,0,0
1736322827.5765908,2511,2759,117
1736322827.6375096,0,3213,1437
1736322827.7601907,161,3207,225
1736322827.8174386,0,942,3943
1736322827.8721275,4095,0,0
1736322827.9360473,4095,464,0
1736322827.992866,2803,195,1579
1736322828.1193347,2945,0,1009
1736322828.1740756,4095,3339,0
1736322828.2366123,4095,2711,74
1736322828.2911887,76,3312,209
1736322828.3580294,4095,734,0
1736322828.413653,4095,0,1278
1736322828.468733,0,0,4095
1736322828.537109,1265,3270,219
1736322828.596403,0,3447,545
1736322828.6558378,4095,0,0
1736322828.7136302,4095,2032,0
1736322828.776848,2082,0,3830
1736322828.8322573,4095,0,4086
1736322828.8969002,2594,3489,207
1736322828.9537506,1056,3434,212
1736322829.0102983,313,3415,207
1736322829.0687282,4095,0,3566
1736322829.1335518,2918,3285,204
1736322829.189457,0,3664,262
1736322829.2578335,0,141,4095
1736322829.315605,0,3287,240
1736322829.3692057,4095,0,4095
1736322829.4293196,4095,0,3738
1736322829.496128,730,107,1007
1736322829.553408,1561,473,3504
1736322829.6173663,4095,0,3600
1736322829.673092,1309,3664,121
1736322829.7339396,4095,0,732
1736322829.7962923,0,3437,231
1736322829.8561532,4095,0,3536
1736322829.9157372,4095,3509,0
1736322829.9734762,4095,0,3652
1736322830.0912502,4095,0,1125
1736322830.1540003,4095,192,0
1736322830.2146795,0,3339,4087
1736322830.269073,4095,0,3600
1736322830.3369174,4095,3343,32
1736322830.3961546,0,3551,208
1736322830.4566748,4095,0,2018
1736322830.573215,4095,313,3185
1736322830.638082,1898,0,3472
1736322830.6993647,169,398,3507
1736322830.7521138,412,2193,1404
1736322830.8108454,4095,3248,52
1736322830.8760846,3216,3259,210
1736322830.9943426,0,2902,4095
1736322831.0563674,0,3189,2234
1736322831.1166074,0,3677,175
1736322831.1697838,4095,0,3653
1736322831.233035,1849,0,3570
1736322831.2936304,4095,0,412
1736322831.357262,0,3353,214
